random_uni_B1_10_1.scc 25614.380ms
random_uni_B1_10_2.scc 19832.792ms
random_uni_B1_10_3.scc 19837.816ms
random_uni_B1_10_4.scc 19359.164ms
random_uni_B1_10_5.scc 26470.989ms
random_uni_B1_2_1.scc 9.900ms
random_uni_B1_2_2.scc 2.508ms
random_uni_B1_2_3.scc 2.105ms
random_uni_B1_2_4.scc 1.878ms
random_uni_B1_2_5.scc 1.792ms
random_uni_B1_3_1.scc 2.261ms
random_uni_B1_3_2.scc 2.330ms
random_uni_B1_3_3.scc 2.289ms
random_uni_B1_3_4.scc 2.397ms
random_uni_B1_3_5.scc 2.401ms
random_uni_B1_4_1.scc 4.361ms
random_uni_B1_4_2.scc 4.828ms
random_uni_B1_4_3.scc 4.938ms
random_uni_B1_4_4.scc 5.161ms
random_uni_B1_4_5.scc 6.019ms
random_uni_B1_5_1.scc 32.858ms
random_uni_B1_5_2.scc 24.330ms
random_uni_B1_5_3.scc 30.929ms
random_uni_B1_5_4.scc 24.501ms
random_uni_B1_5_5.scc 22.679ms
random_uni_B1_6_1.scc 268.004ms
random_uni_B1_6_2.scc 279.875ms
random_uni_B1_6_3.scc 321.228ms
random_uni_B1_6_4.scc 216.089ms
random_uni_B1_6_5.scc 244.348ms
random_uni_B1_7_1.scc 4308.207ms
random_uni_B1_7_2.scc 2961.766ms
random_uni_B1_7_3.scc 3027.322ms
random_uni_B1_7_4.scc 3462.015ms
random_uni_B1_7_5.scc 4365.542ms
random_uni_B1_8_1.scc 55794.625ms
random_uni_B1_8_2.scc 57960.859ms
random_uni_B1_8_3.scc 65300.468ms
random_uni_B1_8_4.scc 53477.785ms
random_uni_B1_8_5.scc 74965.391ms
