random_uni_B1_10_1.scc 48733.477ms
random_uni_B1_10_2.scc 48706.657ms
random_uni_B1_10_3.scc 43521.889ms
random_uni_B1_10_4.scc 47860.077ms
random_uni_B1_10_5.scc 44024.080ms
random_uni_B1_2_1.scc 24.675ms
random_uni_B1_2_2.scc 4.825ms
random_uni_B1_2_3.scc 2.818ms
random_uni_B1_2_4.scc 4.919ms
random_uni_B1_2_5.scc 3.366ms
random_uni_B1_3_1.scc 5.395ms
random_uni_B1_3_2.scc 3.829ms
random_uni_B1_3_3.scc 4.570ms
random_uni_B1_3_4.scc 4.376ms
random_uni_B1_3_5.scc 6.027ms
random_uni_B1_4_1.scc 6.805ms
random_uni_B1_4_2.scc 6.698ms
random_uni_B1_4_3.scc 5.102ms
random_uni_B1_4_4.scc 3.624ms
random_uni_B1_4_5.scc 9.559ms
random_uni_B1_5_1.scc 44.970ms
random_uni_B1_5_2.scc 31.923ms
random_uni_B1_5_3.scc 20.236ms
random_uni_B1_5_4.scc 38.405ms
random_uni_B1_5_5.scc 9.141ms
random_uni_B1_6_1.scc 429.001ms
random_uni_B1_6_2.scc 568.417ms
random_uni_B1_6_3.scc 524.699ms
random_uni_B1_6_4.scc 364.050ms
random_uni_B1_6_5.scc 388.715ms
random_uni_B1_7_1.scc 6732.606ms
random_uni_B1_7_2.scc 5355.885ms
random_uni_B1_7_3.scc 5305.640ms
random_uni_B1_7_4.scc 5453.204ms
random_uni_B1_7_5.scc 6592.959ms
random_uni_B1_8_1.scc 91696.377ms
random_uni_B1_8_2.scc 92997.362ms
random_uni_B1_8_3.scc 105325.253ms
random_uni_B1_8_4.scc 86620.769ms
random_uni_B1_8_5.scc 123517.874ms
